member,ic,Delta_T,final_relL2_bare,final_relL2_nn,final_relL2_true,nn_over_bare_x,true_over_bare_x,gap_nn_over_true,verdict_true,verdict_nn,bare_crosscheck_rel
kf4,532,0.005,2.7099e-04,3.6974e-05,3.6808e-06,7.33,73.62,10.0,STABLE,STABLE,0.00e+00
kf4,912,0.005,3.1217e-04,2.5466e-04,5.6236e-06,1.23,55.51,45.3,STABLE,STABLE,0.00e+00
kf4,1356,0.005,2.5684e-04,4.8440e-05,3.5802e-06,5.30,71.74,13.5,STABLE,STABLE,0.00e+00
256,549,0.005,7.3044e-04,3.3563e-04,1.2149e-05,2.18,60.12,27.6,STABLE,STABLE,0.00e+00
256,933,0.005,5.7671e-04,1.3322e-04,9.8474e-06,4.33,58.56,13.5,STABLE,STABLE,0.00e+00
256,1357,0.005,7.8822e-04,9.6678e-04,1.5571e-05,0.82,50.62,62.1,STABLE,STABLE,0.00e+00
kf4,532,0.01,2.1994e-03,2.5365e-04,6.0278e-05,8.67,36.49,4.2,STABLE,STABLE,0.00e+00
kf4,912,0.01,2.7377e-03,4.0810e-04,9.7988e-05,6.71,27.94,4.2,STABLE,STABLE,0.00e+00
kf4,1356,0.01,2.1155e-03,2.4050e-04,5.9903e-05,8.80,35.32,4.0,STABLE,STABLE,0.00e+00
256,549,0.01,6.4236e-03,7.5888e-04,2.1478e-04,8.46,29.91,3.5,STABLE,STABLE,0.00e+00
256,933,0.01,5.0482e-03,5.5766e-04,1.7342e-04,9.05,29.11,3.2,STABLE,STABLE,0.00e+00
256,1357,0.01,7.6677e-03,4.0649e-03,2.8442e-04,1.89,26.96,14.3,STABLE,STABLE,0.00e+00
kf4,532,0.015,9.3986e-03,3.0351e-03,3.3385e-04,3.10,28.15,9.1,STABLE,STABLE,0.00e+00
kf4,912,0.015,7.2072e-02,1.7394e-02,5.8634e-04,4.14,122.92,29.7,STABLE,STABLE,0.00e+00
kf4,1356,0.015,1.9297e-02,3.4113e-03,3.4324e-04,5.66,56.22,9.9,STABLE,STABLE,0.00e+00
256,549,0.015,1.6225e-01,3.0704e-02,1.3026e-03,5.28,124.56,23.6,STABLE,STABLE,0.00e+00
256,933,0.015,4.7460e-02,1.1151e-02,1.0547e-03,4.26,45.00,10.6,STABLE,STABLE,0.00e+00
256,1357,0.015,9.3602e-01,1.7526e+00,1.7636e-03,0.53,530.74,993.8,STABLE,STABLE,0.00e+00
