step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00036379235639553287,1.4198979379072536e-08,1.1375935374092063e-07,2.3725135211475247e-06,0.0003637305415961909
1,0.015,0.000363770530822225,1.4186727552343267e-08,1.136448253508937e-07,2.3724278373819615e-06,0.00036370878338791624
2,0.03,0.0003638955005753679,1.4174250592522531e-08,1.1355231854807502e-07,2.373277418557707e-06,0.00036383414065364487
3,0.045,0.000364078842478171,1.4161486837867514e-08,1.1346796590247054e-07,2.3741877040313723e-06,0.0003640179753364197
4,0.06,0.00036428310086791745,1.4148609029945813e-08,1.1338670647618309e-07,2.375050283425286e-06,0.0003642223734576316
5,0.075,0.00036445945917039553,1.41358355552766e-08,1.1330601191089653e-07,2.3760758935724474e-06,0.0003643985131741707
6,0.09,0.0003645911641344112,1.4123341720732905e-08,1.1322971753437589e-07,2.377334675755291e-06,0.0003645301306942193
7,0.105,0.00036471663694949056,1.4111266412785552e-08,1.1316742704987905e-07,2.3786401469973154e-06,0.0003646558938181634
8,0.12,0.000364868843592534,1.4099782028299269e-08,1.1312693019559033e-07,2.3798596004804183e-06,0.000364808387893957
9,0.135,0.00036502290856052115,1.4089131602197693e-08,1.1310931395990068e-07,2.381138824594291e-06,0.0003649623471600611
10,0.15,0.00036514089655426243,1.407958500475635e-08,1.1311278394768236e-07,2.3826817721470056e-06,0.00036508004932146244
11,0.16499999999999998,0.0003652351127217721,1.4071370078096017e-08,1.1313826322091386e-07,2.3844571640222264e-06,0.00036517422640506474
12,0.18,0.0003653432373281967,1.4064649040659917e-08,1.1318837669121154e-07,2.3862948084881334e-06,0.00036528251834875604
13,0.195,0.0003654648905542165,1.405953130497218e-08,1.1326275801232921e-07,2.3881683922433513e-06,0.00036540418461747376
14,0.21,0.0003655673868598644,1.405607188417933e-08,1.1335768067703453e-07,2.390194206800963e-06,0.00036550649307391523
15,0.22499999999999998,0.0003656428766616641,1.405425146278275e-08,1.1346989445614947e-07,2.3923903544473733e-06,0.00036558190503782075
16,0.24,0.00036571719874214725,1.4053977563377932e-08,1.1359793794345622e-07,2.3946171253540734e-06,0.00036565638850348395
