t,relL2_bare,relL2_r3only,relL2_r3anal,relL2_closure
0.0,4.608169339404739e-16,4.608169339404739e-16,4.608169339404739e-16,4.608169339404739e-16
0.005,0.0001738452198104173,0.0001738387330907341,6.961219697624885e-06,3.415704742598405e-05
0.01,0.0003725629819655626,0.0003725490872840463,1.5123358057330158e-05,7.210561986588318e-05
0.015,0.0005754552972686059,0.0005754338020876,2.342365858068535e-05,0.00014514555301131562
0.02,0.0007802405480047894,0.0007802113295618705,3.170695512408585e-05,0.0001675327727731817
0.025,0.000986770918836845,0.0009867338580438105,3.9960849651589405e-05,0.00035619303024546036
0.03,0.0011950468817203037,0.0011950018598682454,4.818701570510352e-05,0.0007449537181877197
0.035,0.0014050621053024515,0.00140500900415939,5.638617339062013e-05,0.0022777682242083167
0.04,0.0016168124335814921,0.0016167511352785954,6.455776068025889e-05,0.0069046438870099085
0.045,0.001830293517965923,0.0018302239053813911,7.270053924057083e-05,0.02585471786752051
0.05,0.0020454916212584635,0.0020454135787433027,8.081340945005893e-05,0.3445865676935553
0.055,0.002262391653935155,0.0022623050671918554,8.889599996247931e-05,
0.06,0.00248100167141366,0.0024809064259281467,9.694834165539269e-05,
