bench,arm,ms,peak_MiB
forward_256_b1,cond_local_k15,2.7054965030401945,59.2041015625
forward_256_b1,cond_local_k31,5.56444504763931,58.9873046875
forward_256_b1,cond_deriv_spec,4.1572884656488895,47.49267578125
forward_256_b4,cond_local_k15,6.994799477979541,209.998046875
forward_256_b4,cond_local_k31,17.669459455646574,210.005859375
forward_256_b4,cond_deriv_spec,5.2642630180343986,161.5166015625
fwdbwd_256_b4,cond_local_k15,39.390994468703866,269.875
fwdbwd_256_b4,cond_local_k31,63.31299862358719,274.21533203125
forward_512_b1,cond_local_k15,6.964282947592437,221.802734375
forward_512_b1,cond_local_k31,17.687457147985697,221.8046875
forward_512_b1,cond_deriv_spec,5.4576179245486856,175.84326171875
forward_512_b4,cond_local_k15,25.402117520570755,823.314453125
forward_512_b4,cond_local_k31,67.45950051117688,823.322265625
forward_512_b4,cond_deriv_spec,16.708923038095236,631.39111328125
fwdbwd_512_b4,cond_local_k15,155.36201559007168,1022.98388671875
fwdbwd_512_b4,cond_local_k31,264.9598413845524,1030.57275390625
closure_step_256,bare,0.37294207140803337,nan
closure_step_256,closure_k15,3.1527765095233917,nan
closure_step_256,closure_k31,6.109325913712382,nan
